	(02_HK)	(03_GPI)	(04_PFK)	(05_ALD)	(06_TPI)	(07_GA3PDH)	(08_PGK)	(09_PGM)	(10_ENO)	(11_PK)	(12_PyrExp)	(13_EngExp)	(01_glu)	'Summation Error'
(02_HK)	1.39076	-1.2777e-16	-1.2777e-16	-1.2777e-16	1.2777e-16	-1.2777e-16	-1.2777e-16	0	0	6.38851e-17	-1.71561e-16	-0.390762	1.24726e-07	1.55985e-13
(03_GPI)	1.39076	-4.44089e-16	9.3755e-16	-6.03481e-16	5.09886e-16	4.63786e-16	-1.41371e-15	8.80077e-16	0	-3.24092e-16	-1.69204e-16	-0.390762	1.24726e-07	1.56304e-13
(04_PFK)	1.39076	-3.27542e-16	2.22045e-16	-5.48476e-16	5.48476e-16	4.08904e-16	-1.46903e-15	9.5738e-16	0	-3.51741e-16	-1.69204e-16	-0.390762	1.24726e-07	1.55985e-13
(05_ALD)	1.39076	-6.59457e-16	-6.59457e-16	0	8.02639e-17	-4.05981e-16	-2.74351e-16	-4.47514e-16	0	-3.50903e-16	-3.75042e-16	-0.390762	1.24726e-07	1.55665e-13
(06_TPI)	1.39076	-5.94554e-16	-5.94554e-16	1.33109e-15	0	-2.3916e-16	-4.87638e-16	1.94176e-16	0	0	-3.75042e-16	-0.390762	1.24726e-07	2.24637e-13
(07_GA3PDH)	1.39076	3.43851e-16	3.43851e-16	-2.66498e-15	-3.43851e-16	-2.22045e-16	2.0929e-15	1.5461e-16	0	-1.50441e-15	-3.75042e-16	-0.390762	1.24726e-07	1.89193e-13
(08_PGK)	1.39076	-4.98438e-16	-5.38664e-16	2.21693e-15	5.10506e-16	-5.06483e-16	-3.33067e-15	7.33959e-16	-4.02262e-18	2.45196e-16	-4.67919e-16	-0.390762	1.24726e-07	1.88235e-13
(09_PGM)	1.39076	-6.65175e-16	4.4345e-16	-1.10863e-15	3.32588e-16	-4.4345e-16	2.21725e-16	-4.44089e-16	1.10863e-16	4.4345e-16	-4.22709e-16	-0.390762	1.24726e-07	1.89353e-13
(10_ENO)	1.39076	-6.66949e-16	4.45547e-16	-1.11078e-15	2.22259e-16	-2.23459e-16	2.22431e-16	-4.44861e-16	0	4.93566e-16	-4.22709e-16	-0.390762	1.24726e-07	1.89193e-13
(11_PK)	1.39076	-8.52325e-17	-8.46046e-16	-2.36767e-15	-2.95174e-16	2.95802e-15	6.75581e-16	0	0	7.77156e-16	-3.13068e-16	-0.390762	1.24726e-07	1.89832e-13
(12_PyrExp)	1.39076	-4.21893e-16	0	-4.21893e-16	4.21893e-16	-4.21893e-16	-4.21893e-16	0	0	4.21893e-16	-4.44089e-16	-0.390762	1.24726e-07	1.89513e-13
(13_EngExp)	1.39076	-4.54747e-16	-4.54747e-16	-4.54747e-16	4.54747e-16	-4.54747e-16	-4.54747e-16	0	0	2.27374e-16	-6.10605e-16	-0.390762	1.24726e-07	5.56564e-13
(01_glu)	1.39076	-1.08953e-16	-1.08953e-16	-1.08953e-16	1.08953e-16	-1.08953e-16	-1.08953e-16	0	0	5.44763e-17	-1.71561e-16	-0.390762	1.24726e-07	2.08432e-13
