set	[G6P].Fitted Value	[G6P].Measured Value	[F6P].Fitted Value	[F6P].Measured Value	[F1,6BP].Fitted Value	[F1,6BP].Measured Value	[DHAP].Fitted Value	[DHAP].Measured Value	[GA3P].Fitted Value	[GA3P].Measured Value	[1,3BPG].Fitted Value	[1,3BPG].Measured Value	[3PG].Fitted Value	[3PG].Measured Value	[2PG].Fitted Value	[2PG].Measured Value	[PEP].Fitted Value	[PEP].Measured Value	[Pyr].Fitted Value	[Pyr].Measured Value	[ADP].Fitted Value	[ADP].Measured Value	[ATP].Fitted Value	[ATP].Measured Value	(02_HK).Flux.Fitted Value	(02_HK).Flux.Measured Value	[Glu].Fitted Value	[Glu].Measured Value
ps1	0.0286549	0.038	0.000649003	0.016	1.94066e-06	0.0076	0.000123726	0.14	2.42874e-05	0.0067	1.87978e-05	0.004	0.000204643	0.045	0.000440944	0.014	0.000231612	0.017	0.00128494	0.077	0.418344	0.27	1.38166	1.544	0.00690868	0.000311	5.00103	5
ps2	0.00527375	0.038	4.42025e-05	0.016	1.05879e-06	0.0076	0.000223199	0.14	0.000101372	0.0067	2.8787e-05	0.004	0.000552939	0.045	8.13682e-05	0.014	0.000304411	0.017	0.00119616	0.077	0.418221	0.27	1.38178	1.544	0.0069089	0.000311	5.00324	5
ps3	0.0421395	0.038	6.19822e-05	0.016	7.35918e-05	0.0076	0.127859	0.14	8.77497e-05	0.0067	5.94124e-06	0.004	2.24003e-05	0.045	0.00373511	0.014	0.00152348	0.017	0.000453513	0.077	0.26798	0.27	1.53202	1.544	0.0076601	0.000311	4.9919	5
ps4	0.00304132	0.038	7.2807e-06	0.016	5.51993e-06	0.0076	0.140443	0.14	0.000209437	0.0067	3.79362e-06	0.004	0.000161628	0.045	0.000372451	0.014	0.000870317	0.017	0.0751912	0.077	0.263753	0.27	1.53625	1.544	0.00768288	0.000311	5.00112	5
ps5	0.0463721	0.038	0.0027232	0.016	2.09254e-05	0.0076	0.137693	0.14	0.00118815	0.0067	3.36424e-05	0.004	5.07456e-05	0.045	0.0002893	0.014	0.000209168	0.017	0.0753135	0.077	0.262048	0.27	1.53795	1.544	0.00768976	0.000311	4.99208	5
ps6	0.0355797	0.038	0.010422	0.016	2.24557e-06	0.0076	0.136339	0.14	0.0184416	0.0067	0.00115623	0.004	3.75272e-05	0.045	0.017742	0.014	0.00177982	0.017	0.000163502	0.077	0.264993	0.27	1.53501	1.544	0.00767504	0.000311	5.00035	5
ps7	0.00161098	0.038	5.68226e-06	0.016	2.21744e-06	0.0076	0.146372	0.14	0.0159683	0.0067	5.94032e-06	0.004	0.000105318	0.045	4.76882e-05	0.014	0.000489024	0.017	0.081547	0.077	0.26698	0.27	1.53302	1.544	0.00766787	0.000311	5.02155	5
ps8	0.0401215	0.038	6.69336e-06	0.016	8.22261e-06	0.0076	0.136895	0.14	0.00037635	0.0067	3.91072e-06	0.004	4.10292e-05	0.045	0.0151281	0.014	3.79241e-05	0.017	0.074455	0.077	0.263971	0.27	1.53603	1.544	0.00801432	0.000311	5.00238	5
ps9	0.005209	0.038	1.1183e-05	0.016	4.27709e-06	0.0076	0.141516	0.14	0.000177526	0.0067	6.66904e-05	0.004	0.000388295	0.045	0.00116379	0.014	0.000304005	0.017	0.000220801	0.077	0.262424	0.27	1.53758	1.544	0.00768788	0.000311	5.00041	5
ps10	0.000114324	0.038	6.40883e-06	0.016	1.12421e-05	0.0076	0.127378	0.14	0.0418515	0.0067	0.0103713	0.004	0.029747	0.045	0.000399605	0.014	0.000550079	0.017	0.00164384	0.077	0.257339	0.27	1.54266	1.544	0.0077133	0.000311	4.99627	5
