set	[G6P].Fitted Value	[G6P].Measured Value	[F6P].Fitted Value	[F6P].Measured Value	[F1,6BP].Fitted Value	[F1,6BP].Measured Value	[DHAP].Fitted Value	[DHAP].Measured Value	[GA3P].Fitted Value	[GA3P].Measured Value	[1,3BPG].Fitted Value	[1,3BPG].Measured Value	[3PG].Fitted Value	[3PG].Measured Value	[2PG].Fitted Value	[2PG].Measured Value	[PEP].Fitted Value	[PEP].Measured Value	[Pyr].Fitted Value	[Pyr].Measured Value	[ADP].Fitted Value	[ADP].Measured Value	[ATP].Fitted Value	[ATP].Measured Value	(02_HK).Flux.Fitted Value	(02_HK).Flux.Measured Value	[Glu].Fitted Value	[Glu].Measured Value
ps1	0.00937765	0.038	0.000109716	0.016	9.00901e-07	0.0076	0.144418	0.14	0.00297659	0.0067	1.87155e-05	0.004	0.000101677	0.045	0.00341944	0.014	9.48061e-05	0.017	0.00173105	0.077	0.264768	0.27	1.53523	1.544	0.00768302	0.000311	5.00638	5
ps2	0.000391746	0.038	0.0213312	0.016	5.20387e-05	0.0076	0.000412762	0.14	0.00140263	0.0067	0.0291011	0.004	0.000443705	0.045	9.19101e-05	0.014	0.00217575	0.017	0.00172222	0.077	1.76866	0.27	0.0313386	1.544	0.00869991	0.000311	5.10357	5
ps3	0.129878	0.038	0.169238	0.016	6.3706e-05	0.0076	0.000123097	0.14	0.006871	0.0067	0.00398155	0.004	0.00124918	0.045	0.000312684	0.014	0.00629052	0.017	0.000497848	0.077	1.76203	0.27	0.037975	1.544	0.0137264	0.000311	4.95232	5
ps4	0.0376483	0.038	0.0199151	0.016	0.00813531	0.0076	0.00025279	0.14	0.00712268	0.0067	0.107897	0.004	0.0324082	0.045	7.03366e-05	0.014	0.0169525	0.017	0.0716897	0.077	0.371049	0.27	1.42895	1.544	0.0406506	0.000311	5.00023	5
ps5	0.0418212	0.038	0.0202518	0.016	9.28593e-05	0.0076	0.0397115	0.14	0.0451548	0.0067	0.107937	0.004	0.0294607	0.045	0.000225688	0.014	0.00522247	0.017	0.071684	0.077	0.370876	0.27	1.42912	1.544	0.040652	0.000311	5.00005	5
ps6	0.00127875	0.038	0.0203444	0.016	9.17725e-05	0.0076	0.0223475	0.14	0.00230826	0.0067	0.106535	0.004	0.00143361	0.045	0.000285274	0.014	0.0177653	0.017	0.071707	0.077	0.369928	0.27	1.43007	1.544	0.0406604	0.000311	4.99726	5
ps7	0.0369187	0.038	0.0224883	0.016	0.000550129	0.0076	0.0390611	0.14	0.0455829	0.0067	0.106304	0.004	0.00161647	0.045	6.63328e-05	0.014	0.0171386	0.017	0.000747369	0.077	0.370775	0.27	1.42922	1.544	0.040656	0.000311	4.99889	5
ps8	0.0021032	0.038	0.168284	0.016	0.0651047	0.0076	0.00515789	0.14	0.00130622	0.0067	0.0823846	0.004	0.00138829	0.045	7.94863e-05	0.014	0.00598975	0.017	0.00395864	0.077	0.563737	0.27	1.23626	1.544	0.0437391	0.000311	4.75802	5
ps9	0.0647993	0.038	0.0673762	0.016	-5.47951e-38	0.0076	-1.92354e-36	0.14	-1.9126e-38	0.0067	-2.77483e-36	0.004	-4.29368e-36	0.045	-1.85212e-37	0.014	-1.03126e-35	0.017	-2.24836e-36	0.077	1.8	0.27	0	1.544	0	0.000311	5.04382	5
ps10	0.0463051	0.038	0.0266405	0.016	0.000277903	0.0076	0.00105523	0.14	0.00740463	0.0067	0.106597	0.004	0.027527	0.045	0.00678499	0.014	0.0118025	0.017	0.0716845	0.077	0.371428	0.27	1.42857	1.544	0.0406476	0.000311	4.99786	5
